movie_id;director
19995;James Cameron
285;Gore Verbinski
206647;Sam Mendes
49026;Christopher Nolan
49529;Andrew Stanton
559;Sam Raimi
38757;Byron Howard
99861;Joss Whedon
767;David Yates
209112;Zack Snyder
1452;Bryan Singer
10764;Marc Forster
58;Gore Verbinski
57201;Gore Verbinski
49521;Zack Snyder
2454;Andrew Adamson
24428;Joss Whedon
1865;Rob Marshall
41154;Barry Sonnenfeld
122917;Peter Jackson
1930;Marc Webb
20662;Ridley Scott
57158;Peter Jackson
2268;Chris Weitz
254;Peter Jackson
597;James Cameron
271110;Anthony Russo
44833;Peter Berg
135397;Colin Trevorrow
37724;Sam Mendes
558;Sam Raimi
68721;Shane Black
12155;Tim Burton
36668;Brett Ratner
62211;Dan Scanlon
8373;Michael Bay
91314;Michael Bay
68728;Sam Raimi
102382;Marc Webb
20526;Joseph Kosinski
49013;John Lasseter
44912;Martin Campbell
10193;Lee Unkrich
534;McG
168259;James Wan
72190;Marc Forster
127585;Bryan Singer
54138;J.J. Abrams
81005;Bryan Singer
64682;Baz Luhrmann
